,frase
101,"O/A Sr.  Pastcho (""Pentcho"") Petroff não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349215. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
102,"O/A Sr.  Richard Frasar White não sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Southampton, na cabine D26, classe A. Pagou US$ 77.29 pelo bilhete 35281. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
103,"O/A Sr.  Gustaf Joel Johansson não sobreviveu ao acidente do Titanic. Na época, contava com 33 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.65 pelo bilhete 7540. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
104,"O/A Sr.  Anders Vilhelm Gustafsson não sobreviveu ao acidente do Titanic. Na época, contava com 37 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.92 pelo bilhete 3101276. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
105,"O/A Sr.  Stoytcho Mionoff não sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349207. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
106,"O/A Sra.  Anna Kristine Salkjelsvik sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.65 pelo bilhete 343120. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
107,"O/A Sr.  Albert Johan Moss sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.78 pelo bilhete 312991. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
108,"O/A Sr.  Tido Rekic não sobreviveu ao acidente do Titanic. Na época, contava com 38 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349249. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
109,"O/A Sra.  Bertha Moran sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 24.15 pelo bilhete 371110. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
110,"O/A Sr.  Walter Chamberlain Porter não sobreviveu ao acidente do Titanic. Na época, contava com 47 anos, embarcou em Southampton, na cabine C110, classe A. Pagou US$ 52.0 pelo bilhete 110465. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
111,"O/A Sra.  Hileni Zabour não sobreviveu ao acidente do Titanic. Na época, contava com 14 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 14.45 pelo bilhete 2665. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
112,"O/A Sr.  David John Barton não sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete 324669. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
113,"O/A Sra.  Katriina Jussila não sobreviveu ao acidente do Titanic. Na época, contava com 20 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.82 pelo bilhete 4136. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
114,"O/A Sra.  Malake Attalah não sobreviveu ao acidente do Titanic. Na época, contava com 17 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 14.46 pelo bilhete 2627. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
115,"O/A Sr.  Edvard Pekoniemi não sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.92 pelo bilhete STON/O 2. 3101294. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
116,"O/A Sr.  Patrick Connors não sobreviveu ao acidente do Titanic. Na época, contava com 70 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 370369. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
117,"O/A Sr.  William John Robert Turpin não sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 21.0 pelo bilhete 11668. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
118,"O/A Sr.  Quigg Edmond Baxter não sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Cherbourg, na cabine B58 B60, classe A. Pagou US$ 247.52 pelo bilhete PC 17558. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
119,"O/A Sra.  Ellis Anna Maria Andersson não sobreviveu ao acidente do Titanic. Na época, contava com 2 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 31.28 pelo bilhete 347082. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
120,"O/A Sr.  Stanley George Hickman não sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 73.5 pelo bilhete S.O.C. 14879. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
121,"O/A Sr.  Leonard Charles Moore não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete A4. 54510. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
122,"O/A Sr.  Nicholas Nasser não sobreviveu ao acidente do Titanic. Na época, contava com 32 anos, embarcou em Cherbourg, na cabine desconhecida, classe B. Pagou US$ 30.07 pelo bilhete 237736. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
123,"O/A Sra.  Susan Webber sobreviveu ao acidente do Titanic. Na época, contava com 32 anos, embarcou em Southampton, na cabine E101, classe B. Pagou US$ 13.0 pelo bilhete 27267. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
124,"O/A Sr.  Percival Wayland White não sobreviveu ao acidente do Titanic. Na época, contava com 54 anos, embarcou em Southampton, na cabine D26, classe A. Pagou US$ 77.29 pelo bilhete 35281. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
125,"O/A Sr.  Elias Nicola-Yarred sobreviveu ao acidente do Titanic. Na época, contava com 12 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 11.24 pelo bilhete 2651. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
126,"O/A Sr.  Martin McMahon não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 370372. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
127,"O/A Sr.  Fridtjof Arne Madsen sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.14 pelo bilhete C 17369. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
128,"O/A Sra.  Anna Peter sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine F E69, classe C. Pagou US$ 22.36 pelo bilhete 2668. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
129,"O/A Sr.  Johan Ekstrom não sobreviveu ao acidente do Titanic. Na época, contava com 45 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 6.98 pelo bilhete 347061. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
130,"O/A Sr.  Jozef Drazenoic não sobreviveu ao acidente do Titanic. Na época, contava com 33 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349241. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
131,"O/A Sr.  Domingos Fernandeo Coelho não sobreviveu ao acidente do Titanic. Na época, contava com 20 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.05 pelo bilhete SOTON/O.Q. 3101307. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
132,"O/A Sra.  Alexander A (Grace Charity Laury) Robins não sobreviveu ao acidente do Titanic. Na época, contava com 47 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 14.5 pelo bilhete A/5. 3337. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
133,"O/A Sra.  Leopold (Mathilde Francoise Pede) Weisz sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 228414. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
134,"O/A Sr.  Samuel James Hayden Sobey não sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete C.A. 29178. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
135,"O/A Sr.  Emile Richard não sobreviveu ao acidente do Titanic. Na época, contava com 23 anos, embarcou em Cherbourg, na cabine desconhecida, classe B. Pagou US$ 15.05 pelo bilhete SC/PARIS 2133. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
136,"O/A Sra.  Helen Monypeny Newsom sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine D47, classe A. Pagou US$ 26.28 pelo bilhete 11752. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
137,"O/A Sr.  Jacques Heath Futrelle não sobreviveu ao acidente do Titanic. Na época, contava com 37 anos, embarcou em Southampton, na cabine C123, classe A. Pagou US$ 53.1 pelo bilhete 113803. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
138,"O/A Sr.  Olaf Elon Osen não sobreviveu ao acidente do Titanic. Na época, contava com 16 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.22 pelo bilhete 7534. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
139,"O/A Sr.  Victor Giglio não sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Cherbourg, na cabine B86, classe A. Pagou US$ 79.2 pelo bilhete PC 17593. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
140,"O/A Sra.  Joseph (Sultana) Boulos não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 15.25 pelo bilhete 2678. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
141,"O/A Sra.  Anna Sofia Nysten sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 347081. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
142,"O/A Sra.  Pekka Pietari (Elin Matilda Dolck) Hakkarainen sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 15.85 pelo bilhete STON/O2. 3101279. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
143,"O/A Sr.  Jeremiah Burke não sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 6.75 pelo bilhete 365222. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
144,"O/A Sr.  Edgardo Samuel Andrew não sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 11.5 pelo bilhete 231945. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
145,"O/A Sr.  Joseph Charles Nicholls não sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 36.75 pelo bilhete C.A. 33112. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
146,"O/A Sr.  August Edvard (""Wennerstrom"") Andersson sobreviveu ao acidente do Titanic. Na época, contava com 27 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.8 pelo bilhete 350043. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
147,"O/A Sra.  Robina Maggie ""Ruby"" Ford não sobreviveu ao acidente do Titanic. Na época, contava com 9 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 34.38 pelo bilhete W./C. 6608. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
148,"O/A Sr.  Michel (""Louis M Hoffman"") Navratil não sobreviveu ao acidente do Titanic. Na época, contava com 36 anos, embarcou em Southampton, na cabine F2, classe B. Pagou US$ 26.0 pelo bilhete 230080. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
149,"O/A Sr.  Thomas Roussel Davids Byles não sobreviveu ao acidente do Titanic. Na época, contava com 42 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 244310. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
150,"O/A Sr.  Robert James Bateman não sobreviveu ao acidente do Titanic. Na época, contava com 51 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 12.52 pelo bilhete S.O.P. 1166. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
151,"O/A Sra.  Thomas (Edith Wearne) Pears sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine C2, classe A. Pagou US$ 66.6 pelo bilhete 113776. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
152,"O/A Sr.  Alfonzo Meo não sobreviveu ao acidente do Titanic. Na época, contava com 55 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete A.5. 11206. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
153,"O/A Sr.  Austin Blyler van Billiard não sobreviveu ao acidente do Titanic. Na época, contava com 40 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 14.5 pelo bilhete A/5. 851. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
154,"O/A Sr.  Ole Martin Olsen não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.31 pelo bilhete Fa 265302. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
155,"O/A Sr.  Charles Duane Williams não sobreviveu ao acidente do Titanic. Na época, contava com 51 anos, embarcou em Cherbourg, na cabine desconhecida, classe A. Pagou US$ 61.38 pelo bilhete PC 17597. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
156,"O/A Sra.  Katherine ""Katie"" Gilnagh sobreviveu ao acidente do Titanic. Na época, contava com 16 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.73 pelo bilhete 35851. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
157,"O/A Sr.  Harry Corn não sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete SOTON/OQ 392090. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
158,"O/A Sr.  Mile Smiljanic não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.66 pelo bilhete 315037. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
159,"O/A Sr.  Thomas Henry Sage não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 69.55 pelo bilhete CA. 2343. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
160,"O/A Sr.  John Hatfield Cribb não sobreviveu ao acidente do Titanic. Na época, contava com 44 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 16.1 pelo bilhete 371362. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
161,"O/A Sra.  James (Elizabeth ""Bessie"" Inglis Milne) Watt sobreviveu ao acidente do Titanic. Na época, contava com 40 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 15.75 pelo bilhete C.A. 33595. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
162,"O/A Sr.  John Viktor Bengtsson não sobreviveu ao acidente do Titanic. Na época, contava com 26 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.78 pelo bilhete 347068. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
